customer,interarrival_time,service_time,arrival_time,service_start,service_end,wait_time,process_duration,queue_length,rating,price_paid,postal_code,lat,long
1,4.78,10.3,10.07,10.07,10.25,0.0,10.3,1,3,10,508913,1.37093,103.97119
2,3.83,7.22,10.13,10.25,10.37,6.47,13.68,2,5,10,540330,1.39681,103.88936
3,9.78,6.77,10.3,10.37,10.48,3.92,10.67,2,3,10,670260,1.3884,103.78793
4,0.38,10.42,11.3,11.3,11.48,0.0,10.42,1,4,8,460211,1.3256,103.93241
5,0.58,13.18,11.32,11.48,11.7,9.83,23.03,2,1,10,470631,1.33331,103.91448
6,6.05,9.82,11.42,11.7,11.87,16.97,26.78,3,1,10,330027,1.31884,103.86282
7,17.0,13.45,11.7,11.87,12.08,9.78,23.22,2,3,10,570510,1.34878,103.8497
8,3.03,6.63,11.75,12.08,12.2,20.18,26.82,3,2,10,650156,1.34836,103.74384
9,1.13,9.28,11.77,12.2,12.35,25.68,34.98,4,2,10,680623,1.39832,103.74734
10,18.62,10.73,12.08,12.35,12.53,16.37,27.1,4,2,10,121441,1.31483,103.7646
11,11.6,11.22,12.27,12.53,12.72,15.48,26.7,3,1,10,530108,1.35288,103.8905
12,25.03,8.38,12.68,12.72,12.85,1.68,10.07,2,3,8,530682,1.37373,103.88552
13,5.52,10.17,13.78,13.78,13.95,0.0,10.17,1,4,18,530804,1.37115,103.89447
14,8.37,11.98,13.92,13.95,14.15,1.82,13.78,2,5,10,508913,1.37093,103.97119
15,6.52,8.52,14.03,14.15,14.3,7.27,15.78,2,4,10,540330,1.39681,103.88936
16,0.45,8.15,14.03,14.3,14.43,15.33,23.48,3,3,18,670260,1.3884,103.78793
17,6.72,8.13,14.15,14.43,14.57,16.77,24.9,4,2,10,460211,1.3256,103.93241
18,10.77,9.0,14.33,14.57,14.72,14.12,23.12,3,3,8,470631,1.33331,103.91448
19,11.8,11.98,14.52,14.72,14.92,11.32,23.32,3,3,10,330027,1.31884,103.86282
20,16.9,7.78,14.8,14.92,15.05,6.42,14.2,2,4,10,570510,1.34878,103.8497
21,2.15,10.25,14.83,15.05,15.22,12.05,22.3,3,3,10,650156,1.34836,103.74384
22,16.77,10.35,15.12,15.22,15.38,5.53,15.88,2,4,10,680623,1.39832,103.74734
23,31.62,10.2,15.65,15.65,15.82,0.0,10.2,1,5,10,121441,1.31483,103.7646
24,6.33,10.33,15.75,15.82,15.98,3.87,14.2,2,3,10,530108,1.35288,103.8905
25,4.08,10.87,15.82,15.98,16.17,10.12,20.97,2,3,10,530682,1.37373,103.88552
26,30.13,8.2,16.32,16.32,16.47,0.0,8.2,1,4,10,530804,1.37115,103.89447
27,0.88,9.15,16.33,16.47,16.62,7.32,16.47,2,5,8,508913,1.37093,103.97119
28,4.67,12.97,16.42,16.62,16.83,11.8,24.77,3,3,10,540330,1.39681,103.88936
29,3.05,9.55,16.47,16.83,16.98,21.72,31.28,3,3,10,670260,1.3884,103.78793
30,26.18,11.97,16.9,16.98,17.18,5.1,17.07,2,4,10,460211,1.3256,103.93241
31,5.22,12.88,16.98,17.18,17.4,11.85,24.73,2,2,10,470631,1.33331,103.91448
32,30.42,10.03,17.5,17.5,17.67,0.0,10.03,1,4,10,330027,1.31884,103.86282
33,8.27,7.12,17.63,17.67,17.78,1.78,8.9,2,5,10,570510,1.34878,103.8497
34,6.87,8.15,17.75,17.78,17.92,2.03,10.18,2,5,25,650156,1.34836,103.74384
35,3.13,8.83,17.8,17.92,18.07,7.05,15.88,2,3,10,680623,1.39832,103.74734
36,23.72,12.92,18.2,18.2,18.42,0.0,12.92,1,4,10,121441,1.31483,103.7646
37,7.47,6.47,18.32,18.42,18.52,5.45,11.92,2,3,18,508913,1.37093,103.97119
38,2.33,9.62,18.37,18.52,18.68,9.58,19.18,3,3,10,540330,1.39681,103.88936
39,32.12,12.43,18.9,18.9,19.1,0.0,12.43,1,5,8,670260,1.3884,103.78793
40,0.4,10.25,18.9,19.1,19.27,12.03,22.28,2,2,10,460211,1.3256,103.93241
41,7.02,10.43,19.02,19.27,19.45,15.27,25.7,3,1,8,470631,1.33331,103.91448
42,6.43,12.05,19.13,19.45,19.65,19.25,31.32,3,3,10,330027,1.31884,103.86282
43,1.7,5.52,19.15,19.65,19.73,29.6,35.12,4,2,10,570510,1.34878,103.8497
44,21.63,7.73,19.52,19.73,19.87,13.48,21.22,3,2,10,650156,1.34836,103.74384
45,3.82,10.73,19.58,19.87,20.05,17.42,28.15,4,1,25,680623,1.39832,103.74734
46,1.47,12.27,19.6,20.0,20.2,23.27,35.53,5,3,8,121441,1.31483,103.7646
47,1.5,6.17,19.63,20.05,20.15,25.17,31.33,6,1,10,530108,1.35288,103.8905
48,18.55,10.25,19.93,20.15,20.32,12.78,23.05,4,3,10,530682,1.37373,103.88552
49,20.73,8.35,20.28,20.28,20.42,0.0,8.35,1,4,8,530804,1.37115,103.89447
50,6.52,11.87,20.4,20.4,20.58,0.0,11.87,1,4,25,508913,1.37093,103.97119
51,36.63,13.82,21.0,21.0,21.23,0.0,13.82,0,5,8,540330,1.39681,103.88936
52,2.08,7.07,21.03,21.03,21.15,0.0,7.07,1,4,8,670260,1.3884,103.78793
53,5.22,6.92,21.12,21.15,21.27,1.85,8.75,2,5,10,460211,1.3256,103.93241
54,50.98,7.1,21.97,21.97,22.1,0.0,7.1,0,5,10,470631,1.33331,103.91448
55,16.13,8.93,22.25,22.25,22.4,0.0,8.93,0,4,25,330027,1.31884,103.86282
56,3.28,11.72,22.3,22.3,22.5,0.0,11.72,1,4,18,570510,1.34878,103.8497
57,27.03,11.63,22.75,22.75,22.95,0.0,11.63,0,4,10,650156,1.34836,103.74384
58,16.53,10.95,23.02,23.02,23.2,0.0,10.95,0,3,10,680623,1.39832,103.74734
59,0.63,6.42,23.03,23.03,23.13,0.0,6.42,1,4,8,121441,1.31483,103.7646
60,3.78,7.97,23.1,23.13,23.27,2.62,10.58,2,5,10,530108,1.35288,103.8905
61,17.32,10.02,23.38,23.38,23.55,0.0,10.02,0,4,18,530682,1.37373,103.88552
62,11.23,6.73,23.57,23.57,23.68,0.0,6.73,0,5,10,530804,1.37115,103.89447
63,10.47,13.0,23.75,23.75,23.97,0.0,13.0,0,4,10,508913,1.37093,103.97119
64,5.15,8.77,23.83,23.83,23.98,0.0,8.77,1,4,10,540330,1.39681,103.88936
65,0.27,13.9,23.83,23.97,0.2,7.58,21.48,2,2,8,670260,1.3884,103.78793
