customer,interarrival_time,service_time,arrival_time,service_start,service_end,wait_time,process_duration,queue_length,rating,price_paid,category,postal_code,lat,long
1,4:47,10:18,10:04,10:04,10:15,0:00,10:18,1,3,4.8,H,508913,1.37093,103.97119
2,3:50,7:13,10:08,10:15,10:22,6:28,13:41,2,5,4.8,H,540330,1.39681,103.88936
3,9:47,6:46,10:18,10:22,10:29,3:55,10:40,2,3,22.8,PWBH,670260,1.3884,103.78793
4,0:23,10:25,11:18,11:18,11:29,0:00,10:25,1,4,22.8,PWBH,460211,1.3256,103.93241
5,0:35,13:11,11:19,11:29,11:42,9:50,23:02,2,1,4.8,H,470631,1.33331,103.91448
6,6:03,9:49,11:25,11:42,11:52,16:58,26:47:00,3,1,4.8,H,330027,1.31884,103.86282
7,17:00,13:27,11:42,11:52,12:05,9:47,23:13,2,3,4.8,H,570510,1.34878,103.8497
8,3:02,6:38,11:45,12:05,12:12,20:11,26:49:00,3,2,4.8,H,650156,1.34836,103.74384
9,1:08,9:17,11:46,12:12,12:21,25:41:00,34:59:00,4,2,4.8,H,680623,1.39832,103.74734
10,18:37,10:44,12:05,12:21,12:32,16:22,27:06:00,4,2,4.8,H,121441,1.31483,103.7646
11,11:36,11:13,12:16,12:32,12:43,15:29,26:42:00,3,1,4.8,H,530108,1.35288,103.8905
12,25:02:00,8:23,12:41,12:43,12:51,1:41,10:04,2,3,12.8,CWB,530682,1.37373,103.88552
13,5:31,10:10,13:47,13:47,13:57,0:00,10:10,1,4,4.8,H,530804,1.37115,103.89447
14,8:22,11:59,13:55,13:57,14:09,1:49,13:47,2,5,4.8,H,508913,1.37093,103.97119
15,6:31,8:31,14:02,14:09,14:18,7:16,15:47,2,4,22.8,PWBH,540330,1.39681,103.88936
16,0:27,8:09,14:02,14:18,14:26,15:20,23:29,3,3,4.8,H,670260,1.3884,103.78793
17,6:43,8:08,14:09,14:26,14:34,16:46,24:54:00,4,2,4.8,H,460211,1.3256,103.93241
18,10:46,9:00,14:20,14:34,14:43,14:07,23:07,3,3,4.8,H,470631,1.33331,103.91448
19,11:48,11:59,14:31,14:43,14:55,11:19,23:19,3,3,4.8,H,330027,1.31884,103.86282
20,16:54,7:47,14:48,14:55,15:03,6:25,14:12,2,4,4.8,H,570510,1.34878,103.8497
21,2:09,10:15,14:50,15:03,15:13,12:03,22:18,3,3,4.8,H,650156,1.34836,103.74384
22,16:46,10:21,15:07,15:13,15:23,5:32,15:53,2,4,4.8,H,680623,1.39832,103.74734
23,31:37:00,10:12,15:39,15:39,15:49,0:00,10:12,1,5,4.8,H,121441,1.31483,103.7646
24,6:20,10:20,15:45,15:49,15:59,3:52,14:12,2,3,4.8,H,530108,1.35288,103.8905
25,4:05,10:52,15:49,15:59,16:10,10:07,20:58,2,3,4.8,H,530682,1.37373,103.88552
26,30:08:00,8:12,16:19,16:19,16:28,0:00,8:12,1,4,4.8,H,530804,1.37115,103.89447
27,0:53,9:09,16:20,16:28,16:37,7:19,16:28,2,5,4.8,H,508913,1.37093,103.97119
28,4:40,12:58,16:25,16:37,16:50,11:48,24:46:00,3,3,4.8,H,540330,1.39681,103.88936
29,3:03,9:33,16:28,16:50,16:59,21:43,31:17:00,3,3,4.8,H,670260,1.3884,103.78793
30,26:11:00,11:58,16:54,16:59,17:11,5:06,17:04,2,4,4.8,H,460211,1.3256,103.93241
31,5:13,12:53,16:59,17:11,17:24,11:51,24:44:00,2,2,4.8,H,470631,1.33331,103.91448
32,30:25:00,10:02,17:30,17:30,17:40,0:00,10:02,1,4,4.8,H,330027,1.31884,103.86282
33,8:16,7:07,17:38,17:40,17:47,1:47,8:54,2,5,4.8,H,570510,1.34878,103.8497
34,6:52,8:09,17:45,17:47,17:55,2:02,10:11,2,5,4.8,H,650156,1.34836,103.74384
35,3:08,8:50,17:48,17:55,18:04,7:03,15:53,2,3,4.8,H,680623,1.39832,103.74734
36,23:43,12:55,18:12,18:12,18:25,0:00,12:55,1,4,4.8,H,121441,1.31483,103.7646
37,7:28,6:28,18:19,18:25,18:31,5:27,11:55,2,3,4.8,H,508913,1.37093,103.97119
38,2:20,9:37,18:22,18:31,18:41,9:35,19:11,3,3,4.8,H,540330,1.39681,103.88936
39,32:07:00,12:26,18:54,18:54,19:06,0:00,12:26,1,5,4.8,H,670260,1.3884,103.78793
40,0:24,10:15,18:54,19:06,19:16,12:02,22:17,2,2,38,RWBH,460211,1.3256,103.93241
41,7:01,10:26,19:01,19:16,19:27,15:16,25:42:00,3,1,4.8,H,470631,1.33331,103.91448
42,6:26,12:03,19:08,19:27,19:39,19:15,31:19:00,3,3,4.8,H,330027,1.31884,103.86282
